어휘,품사,레벨
다시금,부사,6급
다지다01,동사,6급
다짜고짜,부사,6급
다채롭다,형용사,6급
단가,명사,6급
단거리,명사,6급
단결,명사,6급
단계적01∙ 단계적02,관형사∙ 명사,6급
단념,명사,6급
단단히,부사,6급
단돈,명사,6급
단란하다,형용사,6급
단련,명사,6급
단번에,부사,6급
단서02,명사,6급
단숨에,부사,6급
단시간,명사,6급
단연,부사,6급
단적01∙단적02,관형사∙ 명사,6급
단호하다,형용사,6급
달구다,동사,6급
달라붙다,동사,6급
달아오르다,동사,6급
담담하다,형용사,6급
담보,명사,6급
담장,명사,6급
답례,명사,6급
답사02,명사,6급
당03,명사,6급
당당히,부사,6급
당락,명사,6급
당사자,명사,6급
당혹,명사,6급
-대00,접사,6급
대00/대08,명사/의존명사,6급
대거02/대거01,부사/명사,6급
대금02,명사,6급
대기만성,명사,6급
대담하다02,형용사,6급
대대손손,명사,6급
대대적01∙ 대대적02,관형사∙ 명사,6급
대두02,명사,6급
대들다,동사,6급
대뜸,부사,6급
대목,명사,6급
대박00,명사,6급
대변00,명사,6급
대북,명사,6급
대성통곡,명사,6급
대수롭다,형용사,6급
대안00,명사,6급
대양,명사,6급
대외,명사,6급
대원,명사,6급
대장02,명사,6급
대접01,명사,6급
대중성,명사,6급
대폭01/대폭02,명사/부사,6급
대학가,명사,6급
대항,명사,6급
댕기다,동사,6급
더군다나,부사,6급
더더욱,부사,6급
더듬다,동사,6급
더디다,형용사,6급
더러00,부사,6급
더미,명사,6급
더부룩하다02,형용사,6급
덕목,명사,6급
덜렁대다,동사,6급
덜컥01,부사,6급
덤,명사,6급
덤벼들다,동사,6급
덤비다,동사,6급
덥히다,동사,6급
덩달다,동사,6급
덩치,명사,6급
덮치다00,동사,6급
도02,명사,6급
도덕,명사,6급
도덕성,명사,6급
도덕적01∙ 도덕적02,관형사∙ 명사,6급
도래01,명사,6급
도리,명사,6급
도립00,명사,6급
도맡다,동사,6급
도모,명사,6급
도약,명사,6급
도처,명사,6급
도태,명사,6급
독거노인00,명사,6급
독사,명사,6급
독선적01∙ 독선적02,관형사∙ 명사,6급
독성,명사,6급
독자적01∙ 독자적02,관형사∙ 명사,6급
독재,명사,6급
독재자,명사,6급
독점,명사,6급
독창성,명사,6급
돈독하다,형용사,6급
돌아다보다,동사,6급
돌연변이,명사,6급
돌파,명사,6급
동경02,명사,6급
동등,명사,6급
동력,명사,6급
동맥,명사,6급
동메달,명사,6급
동문서답,명사,6급
동병상련,명사,6급
동상이몽,명사,6급
동성02,명사,6급
동시통역,명사,6급
동요01,명사,6급
동적01∙ 동적02,관형사∙ 명사,6급
동정02,명사,6급
동질성,명사,6급
동참,명사,6급
동향03,명사,6급
동호인,명사,6급
되뇌다,동사,6급
되새기다,동사,6급
된소리,명사,6급
두각,명사,6급
두루,부사,6급
두툼하다,형용사,6급
둑,명사,6급
둘러앉다,동사,6급
둥그렇다,형용사,6급
둥둥02,부사,6급
뒤덮이다,동사,6급
뒤돌아보다,동사,6급
뒤바뀌다,동사,6급
뒤섞이다,동사,6급
뒤엉키다,동사,6급
뒤적이다,동사,6급
뒤죽박죽,명사,6급
뒤쫓다,동사,6급
뒤통수,명사,6급
뒤틀리다,동사,6급
뒷바라지,명사,6급
뒷일,명사,6급
뒷전,명사,6급
뒹굴다,동사,6급
드러눕다,동사,6급
드리우다,동사,6급
드세다,형용사,6급
득점,명사,6급
들끓다,동사,6급
들뜨다,동사,6급
들락날락하다,동사,6급
들먹이다,동사,6급
들썩이다,동사,6급
들어맞다,동사,6급
들어차다,동사,6급
들여놓다,동사,6급
들여다보이다,동사,6급
들이닥치다,동사,6급
들이마시다02,동사,6급
들이켜다,동사,6급
들추다,동사,6급
등04,명사,6급
등골01,명사,6급
등급/ 등급00,명사/의존명사,6급
등용문,명사,6급
등재00,명사,6급
등지,의존명사,6급
등지다,동사,6급
딛다,동사,6급
따돌리다,동사,6급
따라나서다,동사,6급
딱하다,형용사,6급
딱히02,부사,6급
때마침,부사,6급
떠넘기다,동사,6급
떠다니다,동사,6급
떠돌아다니다,동사,6급
떠밀리다,동사,6급
떨구다,동사,6급
떨치다01,동사,6급
떨치다02,동사,6급
뜨이다,동사,6급
뜯어내다,동사,6급
띄어쓰기,명사,6급
로맨틱00,명사,6급
리그,명사,6급
마누라,명사,6급
마다하다,동사,6급
마지못하다,형용사,6급
마취,명사,6급
막강,명사,6급
막다르다,형용사,6급
막대,명사,6급
막대하다,형용사,6급
막론하다,동사,6급
막무가내,명사,6급
막바지,명사,6급
막상막하,명사,6급
막연히,부사,6급
막중하다,형용사,6급
막힘없이,부사,6급
만끽00,명사,6급
만사,명사,6급
만세00・ 만세03,감탄사・ 명사,6급
만연,명사,6급
만장일치,명사,6급
맏형,명사,6급
말단,명사,6급
말문,명사,6급
말미암다,동사,6급
말솜씨,명사,6급
말썽,명사,6급
망03,명사,6급
망신,명사,6급
망원경,명사,6급
망치,명사,6급
맞먹다,동사,6급
맞붙다,동사,6급
맞아떨어지다,동사,6급
맞장구,명사,6급
맞춤,명사,6급
매04,의존명사,6급
매기다,동사,6급
매니저,명사,6급
매듭,명사,6급
매료00,명사,6급
매립,명사,6급
매장01,명사,6급
매진02,명사,6급
맥,명사,6급
맥락,명사,6급
맥박,명사,6급
맴돌다,동사,6급
맵시,명사,6급
맹렬하다,형용사,6급
맺히다,동사,6급
머금다,동사,6급
머리맡,명사,6급
먹구름,명사,6급
멀다01,동사,6급
멋스럽다,형용사,6급
멍들다,동사,6급
면모,명사,6급
면역,명사,6급
면회,명사,6급
명당,명사,6급
명료하다,형용사,6급
명목,명사,6급
명문02,명사,6급
명백하다,형용사,6급
명복,명사,6급
명분,명사,6급
명승지,명사,6급
명실상부00,명사,6급
명중,명사,6급
명칭,명사,6급
모닥불,명사,6급
모색,명사,6급
모서리,명사,6급
모순,명사,6급
모욕,명사,6급
모유,명사,6급
모질다,형용사,6급
모퉁이,명사,6급
모티브,명사,6급
모호하다,형용사,6급
목덜미,명사,6급
몰락,명사,6급
몰려가다,동사,6급
몰아가다,동사,6급
몰아내다,동사,6급
몰아넣다,동사,6급
몰아쉬다,동사,6급
몰아치다,동사,6급
몰입,명사,6급
몸집,명사,6급
못마땅하다,형용사,6급
묘미,명사,6급
묘지,명사,6급
묘하다,형용사,6급
무공해,명사,6급
무궁무진,명사,6급
무기력,명사,6급
무더기,명사,6급
무던히,부사,6급
무럭무럭,부사,6급
무력01,명사,6급
무례,명사,6급
무료하다,형용사,6급
무르다03,형용사,6급
무르익다,동사,6급
무릅쓰다,동사,6급
무리01,명사,6급
무모하다,형용사,6급
무병장수00,명사,6급
무성하다,형용사,6급
무수하다,형용사,6급
무수히,부사,6급
무심히,부사,6급
무언,명사,6급
무용지물,명사,6급
무작정01/ 무작정02,명사/부사,6급
문학적01/ 문학적02,관형사∙ 명사,6급
무한,명사,6급
무형,명사,6급
묵념,명사,6급
묵직하다,형용사,6급
묵히다,동사,6급
문과,명사,6급
문단02,명사,6급
문상,명사,6급
문안02,명사,6급
문지르다,동사,6급
물리적01/ 물리적02,관형사∙ 명사,6급
문헌,명사,6급
물끄러미,부사,6급
물들이다,동사,6급
물러가다,동사,6급
물리다03,동사,6급
민주적01∙ 민주적02,관형사∙ 명사,6급
물자,명사,6급
물체,명사,6급
미각,명사,6급
미남,명사,6급
미달,명사,6급
미덕,명사,6급
미묘하다,형용사,6급
미사,명사,6급
미숙하다,형용사,6급
미술가,명사,6급
미약하다,형용사,6급
미어지다,동사,6급
미정,명사,6급
미지,명사,6급
미혼모,명사,6급
미흡하다,형용사,6급
민간,명사,6급
민간단체00,명사,6급
민망하다,형용사,6급
민족주의,명사,6급
민주,명사,6급
배타적01∙ 배타적02,관형사∙ 명사,6급
민주화,명사,6급
민첩하다,형용사,6급
밀도,명사,6급
밀려나다,동사,6급
밀려들다,동사,6급
밀림,명사,6급
밀어붙이다,동사,6급
밀어주다,동사,6급
밀접,명사,6급
밀착,명사,6급
밑거름,명사,6급
밑창,명사,6급
바래다01,동사,6급
바삐,부사,6급
바짝,부사,6급
바퀴벌레,명사,6급
박자,명사,6급
박탈,명사,6급
반감,명사,6급
반나절,명사,6급
반도,명사,6급
반도체,명사,6급
반론,명사,6급
반목,명사,6급
반문,명사,6급
반세기,명사,6급
반신욕,명사,6급
반주01,명사,6급
반칙,명사,6급
받들다,동사,6급
발각,명사,6급
발굴,명사,6급
발단,명사,6급
발돋움,명사,6급
발령,명사,6급
발병02,명사,6급
발상02,명사,6급
밥벌이,명사,6급
밧줄,명사,6급
방귀,명사,6급
방범,명사,6급
방사능,명사,6급
방어,명사,6급
방언,명사,6급
방치,명사,6급
방침,명사,6급
방패,명사,6급
배상02,명사,6급
배설,명사,6급
배신,명사,6급
배역,명사,6급
배제,명사,6급
배출00,명사,6급
병적01∙ 병적02,관형사∙ 명사,6급
배포,명사,6급
배회,명사,6급
배후,명사,6급
백년해로,명사,6급
백미02,명사,6급
백수01,명사,6급
백지,명사,6급
백혈병,명사,6급
번성,명사,6급
번식,명사,6급
번영,명사,6급
번쩍02,부사,6급
번창,명사,6급
벌판,명사,6급
범주,명사,6급
범하다,동사,6급
범행,명사,6급
법률가,명사,6급
법안,명사,6급
법정01,명사,6급
벗,명사,6급
벤처,명사,6급
벼르다,동사,6급
벽화,명사,6급
변02,명사,6급
변덕,명사,6급
변두리,명사,6급
변모,명사,6급
변변찮다,형용사,6급
변수,명사,6급
변천,명사,6급
변형,명사,6급
변호,명사,6급
변화무쌍,명사,6급
별개,명사,6급
별안간,명사,6급
별의별,관형사,6급
병동,명사,6급
병상,명사,6급
병세,명사,6급
복합적01∙ 복합적02,관형사∙ 명사,6급
병행,명사,6급
보건,명사,6급
보답,명사,6급
보류,명사,6급
보배,명사,6급
보복,명사,6급
보유,명사,6급
보육원,명사,6급
보잘것없다,형용사,6급
보조금,명사,6급
보태다,동사,6급
보호자,명사,6급
복귀,명사,6급
복리01,명사,6급
복부,명사,6급
복수02,명사,6급
복장,명사,6급
복제,명사,6급
복종,명사,6급
비극적01∙ 비극적02,관형사∙ 명사,6급
본격화00,명사,6급
본성,명사,6급
본전,명사,6급
봉우리,명사,6급
봐주다,동사,6급
부가,명사,6급
부각,명사,6급
부고02,명사,6급
부닥치다,동사,6급
부당,명사,6급
부도01,명사,6급
부도나다,동사,6급
부득이,부사,6급
부디,부사,6급
부르짖다,동사,6급
부리다01,동사,6급
부설,명사,6급
부실,명사,6급
부양,명사,6급
부응,명사,6급
부임,명사,6급
부재,명사,6급
부진,명사,6급
부착,명사,6급
부추기다,동사,6급
부축,명사,6급
부패,명사,6급
부풀리다,동사,6급
부피,명사,6급
부활,명사,6급
북돋다,동사,6급
북돋우다,동사,6급
북받치다,동사,6급
북적거리다,동사,6급
분간,명사,6급
분기,명사,6급
분담,명사,6급
분배,명사,6급
분별,명사,6급
분분하다,형용사,6급
분산,명사,6급
분열,명사,6급
분유,명사,6급
분쟁,명사,6급
분출,명사,6급
분하다,형용사,6급
분해,명사,6급
불경02,명사,6급
불과,부사,6급
불러오다,동사,6급
불명,명사,6급
불모지,명사,6급
불분명하다,형용사,6급
불쑥,부사,6급
불안정,명사,6급
불어넣다,동사,6급
불참,명사,6급
불화,명사,6급
불황,명사,6급
불효자00,명사/대명사,6급
붐,명사,6급
붙들리다,동사,6급
비겁하다,형용사,6급
비굴하다,형용사,6급
비약적01∙ 비약적02,관형사∙ 명사,6급
비기다02,동사,6급
비단,부사,6급
비리다,형용사,6급
비밀스럽다,형용사,6급
비방02,명사,6급
비상00,명사,6급
비속어,명사,6급
비스듬히,부사,6급
비정상적00,관형사∙ 명사,6급
비염,명사,6급
비웃음,명사,6급
비위,명사,6급
비전,명사,6급
사실적01∙ 사실적02,관형사∙ 명사,6급
비참하다,형용사,6급
비품,명사,6급
비하,명사,6급
빈곤,명사,6급
빈민,명사,6급
빈부,명사,6급
빈약,명사,6급
빈털터리,명사,6급
빈틈,명사,6급
빈틈없다,형용사,6급
빈틈없이,부사,6급
빈혈,명사,6급
빗기다,동사,6급
빗줄기,명사,6급
빙산,명사,6급
빚어지다,동사,6급
빡빡하다,형용사,6급
빤히,부사,6급
빼돌리다,동사,6급
뺑소니,명사,6급
뺨치다,동사,6급
뻔뻔하다,형용사,6급
뻔히,부사,6급
뻗치다,동사,6급
뿌리내리다,동사,6급
뿜다,동사,6급
뿜어내다,동사,6급
사각지대,명사,6급
사각형,명사,6급
사격,명사,6급
사고력,명사,6급
사공,명사,6급
사기01,명사,6급
사로잡히다,동사,6급
사리02,명사,6급
사면초가,명사,6급
사뭇,부사,6급
사법,명사,6급
사법부,명사,6급
사사건건01/ 사사건건02,명사/부사,6급
사상가,명사,6급
사상누각,명사,6급
사색02,명사,6급
사슬,명사,6급
사시사철,명사,6급
생산적01∙ 생산적02,관형사∙ 명사,6급
사양02,명사,6급
사업주00,명사,6급
사치스럽다,형용사,6급
사퇴,명사,6급
사필귀정,명사,6급
사회주의,명사,6급
사후02,명사,6급
산간,명사,6급
산뜻하다,형용사,6급
산림,명사,6급
산만하다,형용사,6급
산맥,명사,6급
산모,명사,6급
산물,명사,6급
산성,명사,6급
산하02,명사,6급
살균,명사,6급
살해,명사,6급
삼각형,명사,6급
삼림욕,명사,6급
삼복더위,명사,6급
상03,명사,6급
상거래,명사,6급
상당,명사,6급
상반00,명사,6급
상봉,명사,6급
상세하다,형용사,6급
상속,명사,6급
상승세,명사,6급
상심,명사,6급
상여,명사,6급
상용,명사,6급
상위,명사,6급
상위권,명사,6급
상응,명사,6급
상이하다,형용사,6급
상인,명사,6급
상장02,명사,6급
상주01,명사,6급
상체,명사,6급
상호01/ 상호02,명사/부사,6급
샅샅이,부사,6급
새삼스럽다,형용사,6급
새옹지마,명사,6급
색채,명사,6급
생계,명사,6급
생사,명사,6급
생산성,명사,6급
생산자,명사,6급
서민적01∙ 서민적02,관형사∙ 명사,6급
생산지,명사,6급
생성,명사,6급
생소하다,형용사,6급
생태02,명사,6급
생필품,명사,6급
생활고,명사,6급
생활권,명사,6급
서구,명사,6급
서두,명사,6급
선동적01∙ 선동적02,관형사∙ 명사,6급
서성거리다,동사,6급
서슴없이,부사,6급
서신,명사,6급
서열,명사,6급
서평,명사,6급
선03,명사,6급
선고,명사,6급
선교,명사,6급
선교사,명사,6급
선정적01∙ 선정적02,관형사∙ 명사,6급
선뜻,부사,6급
선비01,명사,6급
선풍적01∙ 선풍적02,관형사∙ 명사,6급
선조,명사,6급
선출,명사,6급
시대적01∙ 시대적02,관형사∙ 명사,6급
선하다02,형용사,6급
선행01,명사,6급
섣불리,부사,6급
-설,접사,6급
설교,명사,6급
설령,부사,6급
설비,명사,6급
설상가상,명사,6급
설움,명사,6급
섬유,명사,6급
섬유질,명사,6급
섭리,명사,6급
섭외,명사,6급
성대,명사,6급
성비,명사,6급
성사,명사,6급
성장기,명사,6급
성적순00,명사,6급
성차별,명사,6급
성취도,명사,6급
성품,명사,6급
성하다01,형용사,6급
성화01,명사,6급
세03,명사,6급
세04,명사,6급
세관,명사,6급
세밀하다,형용사,6급
세심하다,형용사,6급
세태,명사,6급
세포,명사,6급
센서,명사,6급
소동,명사,6급
소란스럽다,형용사,6급
소량,명사,6급
소멸,명사,6급
소신02,명사,6급
소실,명사,6급
소아,명사,6급
소양,명사,6급
소외,명사,6급
소위02,부사,6급
소장01,명사,6급
소지02,명사,6급
소프트웨어,명사,6급
소화기02,명사,6급
속보02,명사,6급
속설,명사,6급
속성02,명사,6급
속셈,명사,6급
속속들이,부사,6급
속수무책,명사,6급
속임수,명사,6급
손가락질,명사,6급
손대다,동사,6급
손맛,명사,6급
손색,명사,6급
손수,부사,6급
손아귀,명사,6급
솔01,명사,6급
솔깃하다,형용사,6급
솟아나다01/솟아나다02,동사/형용사,6급
솥,명사,6급
쇄도,명사,6급
쇠퇴,명사,6급
수긍,명사,6급
수녀,명사,6급
수다스럽다,형용사,6급
수도03,명사,6급
수두룩하다,형용사,6급
수려하다,형용사,6급
수립,명사,6급
수목,명사,6급
수발01,명사,6급
수법,명사,6급
수분01,명사,6급
수비,명사,6급
수사관,명사,6급
수산업,명사,6급
수상하다02,형용사,6급
수색,명사,6급
수소문,명사,6급
수송,명사,6급
수완,명사,6급
수용02,명사,6급
수용자00,명사,6급
수월하다,형용사,6급
수재민00,명사,6급
수줍다,형용사,6급
수중02,명사,6급
수지,명사,6급
수차례,명사,6급
수치01,명사,6급
수컷,명사,6급
수평,명사,6급
수평선,명사,6급
수혈,명사,6급
수혜자,명사,6급
수화기,명사,6급
숙맥,명사,6급
순발력,명사,6급
순수성00,명사,6급
순응,명사,6급
순전히,부사,6급
순조롭다,형용사,6급
순환기00,명사,6급
숨죽이다,동사,6급
숭고하다,형용사,6급
숭늉,명사,6급
숭배,명사,6급
쉽사리,부사,6급
스러지다,동사,6급
스며들다,동사,6급
스미다,동사,6급
슬그머니,부사,6급
슬며시,부사,6급
습성,명사,6급
승려,명사,6급
승마,명사,6급
승승장구,명사,6급
승인,명사,6급
승자,명사,6급
-시,접사,6급
시간대,명사,6급
시급히,부사,6급
시기상조,명사,6급
시늉,명사,6급
시적01∙시적02,관형사∙ 명사,6급
시련,명사,6급
시름,명사,6급
시무룩하다,형용사,6급
시비01,명사,6급
시사하다,동사,6급
시상01,명사,6급
시시각각,명사,6급
시신,명사,6급
시원섭섭하다,형용사,6급
시원시원하다,형용사,6급
시인01,명사,6급
실질적01∙ 실질적02,관형사∙ 명사,6급
시정03,명사,6급
시종일관,명사,6급
시중01,명사,6급
시즌,명사,6급
시행착오,명사,6급
식단,명사,6급
식량난00,명사,6급
식민지,명사,6급
식용,명사,6급
식은땀,명사,6급
신명,명사,6급
신비롭다,형용사,6급
신상,명사,6급
신설,명사,6급
신세01,명사,6급
신음,명사,6급
신의,명사,6급
신인,명사,6급
신임01,명사,6급
신자,명사,6급
신종,명사,6급
신진대사,명사,6급
신축성,명사,6급
신하,명사,6급
실마리,명사,6급
실상01/실상02,명사/부사,6급
실상03,명사,6급
실외,명사,6급
실용화,명사,6급
실정02,명사,6급
실질,명사,6급
실천적01∙ 실천적02,관형사∙ 명사,6급
압도적01∙ 압도적02,관형사∙ 명사,6급
심경,명사,6급
심성,명사,6급
심의,명사,6급
심혈,명사,6급
심화,명사,6급
심히,부사,6급
십시일반,명사,6급
싱그럽다,형용사,6급
싸늘하다,형용사,6급
싹02,부사,6급
싹트다,동사,6급
쌍방,명사,6급
쌍벽,명사,6급
쏠리다,동사,6급
씁쓸하다,형용사,6급
아낌없다,형용사,6급
아낌없이,부사,6급
아늑하다,형용사,6급
아득하다,형용사,6급
아랑곳없이,부사,6급
아무쪼록,부사,6급
아부,명사,6급
아비,명사,6급
아슬아슬,부사,6급
아우르다,동사,6급
아찔하다,형용사,6급
악01,명사,6급
악성00,명사,6급
악역,명사,6급
악하다,형용사,6급
안간힘,명사,6급
안건,명사,6급
안달,명사,6급
안락,명사,6급
안락사,명사,6급
안목,명사,6급
안쓰럽다,형용사,6급
안이하다,형용사,6급
안일,명사,6급
안절부절,부사,6급
안주01,명사,6급
알선,명사,6급
알아채다,동사,6급
암기력00,명사,6급
암시,명사,6급
암컷,명사,6급
암호,명사,6급
암흑기,명사,6급
압도,명사,6급
여성적01∙ 여성적02,관형사∙ 명사,6급
압박감,명사,6급
압축,명사,6급
앞다투다,동사,6급
앞당기다,동사,6급
앞장,명사,6급
애지중지,부사,6급
애착,명사,6급
애창곡,명사,6급
애초01,명사,6급
애틋하다,형용사,6급
야광,명사,6급
야기,명사,6급
야단맞다,동사,6급
야당,명사,6급
약물,명사,6급
약세00,명사,6급
약소하다00,형용사,6급
약탈,명사,6급
얌체,명사,6급
양상,명사,6급
양성03,명사,6급
양성평등,명사,6급
양식06,명사,6급
양질,명사,6급
양측,명사,6급
얕보다,동사,6급
어감00,명사,6급
어금니,명사,6급
어김없이,부사,6급
어둑어둑,부사,6급
어렴풋이,부사,6급
어리다01,동사,6급
어리둥절하다,형용사,6급
어마어마하다,형용사,6급
어민,명사,6급
어부지리,명사,6급
어설프다,형용사,6급
어수선하다,형용사,6급
어조,명사,6급
어지럽히다,동사,6급
어처구니,명사,6급
어처구니없다,형용사,6급
어투,명사,6급
억세다,형용사,6급
억수,명사,6급
억압,명사,6급
억지,명사,6급
언뜻,부사,6급
언론사,명사,6급
언행,명사,6급
얻어맞다,동사,6급
얼,명사,6급
얼버무리다,동사,6급
얼핏,부사,6급
얽매이다,동사,6급
엄두,명사,6급
엄중하다,형용사,6급
엄지,명사,6급
업소,명사,6급
업자,명사,6급
업종,명사,6급
엇갈리다,동사,6급
엉금엉금,부사,6급
엉기다,동사,6급
엉성하다,형용사,6급
엉키다,동사,6급
엎다,동사,6급
에워싸다,동사,6급
여당,명사,6급
여류,명사,6급
여리다,형용사,6급
여성상00,명사,6급
역동적01∙ 역동적02,관형사∙ 명사,6급
여아00,명사,6급
여야,명사,6급
여의다,동사,6급
여지00/여지,명사/의존명사,6급
여파,명사,6급
역겹다,형용사,6급
역경,명사,6급
역대,명사,6급
역도,명사,6급
열성적01∙ 열성적02,관형사∙ 명사,6급
역량,명사,6급
역지사지,명사,6급
역효과,명사,6급
연계,명사,6급
연대01,명사,6급
연료,명사,6급
연비,명사,6급
연상01,명사,6급
연약하다,형용사,6급
연연하다01/연연하다02,동사/형용사,6급
연잇다,동사,6급
연장자,명사,6급
연재,명사,6급
연초,명사,6급
열거,명사,6급
열광,명사,6급
열띠다,형용사,6급
열망,명사,6급
열성00,명사,6급
외적01∙외적02,관형사∙ 명사,6급
열악하다,형용사,6급
열풍01,명사,6급
염두,명사,6급
염려,명사,6급
염원,명사,6급
염증,명사,6급
염치,명사,6급
영광,명사,6급
영락없이00,부사,6급
영리,명사,6급
영문01,명사,6급
영문02,명사,6급
영세민,명사,6급
영양사00,명사,6급
영입,명사,6급
영장,명사,6급
영재,명사,6급
영토,명사,6급
예견,명사,6급
예리하다,형용사,6급
예배,명사,6급
예사롭다,형용사,6급
예수,명사,6급
예술성,명사,6급
예의범절,명사,6급
예체능,명사,6급
오기01,명사,6급
오르막길,명사,6급
오른팔,명사,6급
오붓하다,형용사,6급
오죽,부사,6급
옥상,명사,6급
온실가스00,명사,6급
온전하다,형용사,6급
올바로,부사,6급
옷깃,명사,6급
옷자락,명사,6급
옹기종기,부사,6급
완만하다02,형용사,6급
완주,명사,6급
완화,명사,6급
왈가왈부,명사,6급
왕궁,명사,6급
왕권,명사,6급
왕위,명사,6급
왕조,명사,6급
왜곡,명사,6급
왜소하다,형용사,6급
외무부00,명사,6급
외신,명사,6급
외유내강,명사,6급
외형적01∙ 외형적02,관형사∙ 명사,6급
외제,명사,6급
외형,명사,6급
우발적01∙ 우발적02,관형사∙ 명사,6급
외환,명사,6급
요건,명사,6급
요란,명사,6급
요양,명사,6급
요양원,명사,6급
요점,명사,6급
요컨대,부사,6급
요트,명사,6급
용례,명사,6급
용모,명사,6급
용법,명사,6급
용의자,명사,6급
용이하다,형용사,6급
용하다,형용사,6급
우거지다,동사,6급
우뇌00,명사,6급
우뚝,부사,6급
우러나다,동사,6급
우렁차다,형용사,6급
우호적01∙ 우호적02,관형사∙ 명사,6급
우선순위,명사,6급
우성,명사,6급
우세,명사,6급
우스꽝스럽 다,형용사,6급
우여곡절,명사,6급
우열00,명사,6급
우월,명사,6급
우위,명사,6급
우직하다,형용사,6급
우파,명사,6급
원색적01∙ 원색적02,관형사∙ 명사,6급
우후죽순,명사,6급
운용,명사,6급
운항,명사,6급
울렁거리다,동사,6급
울먹이다,동사,6급
울부짖다,동사,6급
울창하다,형용사,6급
울퉁불퉁,부사,6급
울퉁불퉁하다,형용사,6급
움츠리다,동사,6급
움켜잡다,동사,6급
움켜쥐다,동사,6급
웃돌다,동사,6급
웅성웅성,부사,6급
웅장하다,형용사,6급
웅크리다,동사,6급
원-,접사,6급
-원03,접사,6급
원가,명사,6급
원격,명사,6급
원고01,명사,6급
원금,명사,6급
원동력,명사,6급
원료,명사,6급
위생적01∙ 위생적02,관형사∙ 명사,6급
원시01,명사,6급
원심력,명사,6급
원어민,명사,6급
원조02,명사,6급
원주민,명사,6급
원형01,명사,6급
원활,명사,6급
월간01,명사,6급
월차,명사,6급
웰빙00,명사,6급
위계질서,명사,6급
위독하다,형용사,6급
위력,명사,6급
위상,명사,6급
윤리적00,관형사∙ 명사,6급
위성,명사,6급
위안,명사,6급
위암,명사,6급
위원,명사,6급
위인01,명사,6급
위인02,명사,6급
위조,명사,6급
위축,명사,6급
위태롭다,형용사,6급
위화감,명사,6급
유02,명사,6급
유가01,명사,6급
유감,명사,6급
유골,명사,6급
유권자,명사,6급
유난스럽다,형용사,6급
유대감,명사,6급
유도01,명사,6급
유독02,부사,6급
유동,명사,6급
의도적01∙ 의도적02,관형사∙ 명사,6급
유례,명사,6급
유발,명사,6급
유비무환,명사,6급
유서02,명사,6급
유세,명사,6급
유식하다,형용사,6급
유언,명사,6급
유언비어,명사,6급
유연성,명사,6급
유유상종,명사,6급
유일무이,명사,6급
유입,명사,6급
유전02,명사,6급
유전병,명사,6급
유창성,명사,6급
유치02,명사,6급
유포,명사,6급
유학03,명사,6급
유행가,명사,6급
유흥비,명사,6급
유희,명사,6급
육로,명사,6급
의례적01∙ 의례적02,관형사∙ 명사,6급
율동,명사,6급
융통성,명사,6급
융합,명사,6급
으스대다,동사,6급
은근히,부사,6급
은메달,명사,6급
은사01,명사,6급
은은하다,형용사,6급
음02,명사,6급
음모00,명사,6급
음향,명사,6급
의02,명사,6급
의식적01∙ 의식적02,관형사∙ 명사,6급
의욕적01∙ 의욕적02,관형사∙ 명사,6급
의뢰,명사,6급
의리,명사,6급
의생활,명사,6급
의술,명사,6급
의존적01∙ 의존적02,관형사∙ 명사,6급
의아하다,형용사,6급
의학적01∙ 의학적02,관형사∙ 명사,6급
의원02,명사,6급
의젓하다,형용사,6급
의존도,명사,6급
이례적01∙ 이례적02,관형사∙ 명사,6급
이색적01∙ 이색적02,관형사∙ 명사,6급
의향,명사,6급
의혹,명사,6급
의회,명사,6급
이견,명사,6급
이글거리다,동사,6급
이기심,명사,6급
이끌리다,동사,6급
이다00,동사,6급
이따금,부사,6급
이력,명사,6급
인격적00,관형사∙ 명사,6급
이를테면,부사,6급
이면01,명사,6급
이바지00,명사,6급
이산가족,명사,6급
이상02,명사,6급
인공적00,관형사∙ 명사,6급
이슬,명사,6급
이식,명사,6급
이심전심,명사,6급
이어받다,동사,6급
이왕이면,부사,6급
이윤,명사,6급
이의02,명사,6급
이점,명사,6급
이제껏,부사,6급
이주,명사,6급
이주민,명사,6급
이직률,명사,6급
이탈,명사,6급
이해01,명사,6급
이행02,명사,6급
익명,명사,6급
익살스럽다,형용사,6급
-인,접사,6급
인간미,명사,6급
인건비,명사,6급
인도적01∙ 인도적02,관형사∙ 명사,6급
인위적01∙ 인위적02,관형사∙ 명사,6급
인권,명사,6급
인내,명사,6급
인적01∙인적02,관형사∙ 명사,6급
인문학,명사,6급
인산인해,명사,6급
인생관,명사,6급
자기중심적00,관형사∙ 명사,6급
자발적01∙ 자발적02,관형사∙ 명사,6급
인지도,명사,6급
인출,명사,6급
-일,접사,6급
일감,명사,6급
일관성,명사,6급
일깨우다,동사,6급
일념,명사,6급
일대일00,명사,6급
일련,명사,6급
일례,명사,6급
일몰,명사,6급
일삼다,동사,6급
일상화,명사,6급
일원,명사,6급
일정량,명사,6급
일제히,부사,6급
일찌감치,부사,6급
일컫다,동사,6급
일탈,명사,6급
일터,명사,6급
일환,명사,6급
임기,명사,6급
임대료,명사,6급
임명,명사,6급
임신부,명사,6급
임업,명사,6급
임용,명사,6급
임원,명사,6급
임종,명사,6급
임하다02,동사,6급
입상,명사,6급
입양,명사,6급
